storage,size,mrps,mbps
mach,8,24.120643453090416,192.96514762472333
mach,64,12.24132788286214,783.444984503177
mach,256,4.282502373212184,1096.320607542319
mach,1024,1.1792082109451982,1207.509208007883
fishstore-1,8,2.03404285,16.2723428
fishstore-1,64,1.879825808333,120.308851733333
fishstore-1,256,1.384315433333,354.38475093333295
fishstore-1,1024,0.6459249499999999,661.4271487999999
fishstore-8,8,7.081790483333,56.654323866667
fishstore-8,64,8.30141645,531.2906528
fishstore-8,256,5.934261433333,1519.170926933333
fishstore-8,1024,1.539158833333,1576.098645333333
rocksdb-1,8,3.95713305,31.6570644
rocksdb-1,64,3.0271282999999998,193.73621119999999
rocksdb-1,256,2.1183317333333336,542.2929237333334
rocksdb-1,1024,0.6499669333333333,665.5661397333333
rocksdb-8,8,1.8759147333333335,15.007317866666668
rocksdb-8,64,1.0457770666666666,66.92973226666666
rocksdb-8,256,1.48735655,380.7632768
rocksdb-8,1024,1.0738517333333335,1099.6241749333335
lmdb,8,6.28945002102831,50.31560016822648
lmdb,64,4.862200292444191,311.18081871642823
lmdb,256,2.6767265908153,685.2420072487168
lmdb,1024,0.7968462503896182,815.970560398969
